Accession	assignment
AAF67494.2	novA
ADH03009.1	AAC(1)-I/AAC(3)-Ia
AAG15269.1	AAC(1)-I/AAC(3)-Ia
AAA03550.1	AAC(2)-Ia
AAC44793.1	AAC(2)-Ib
CCP42991.1	AAC(2)-Ic
AAB41701.1	AAC(2)-Id
NP_302635.1	AAC(2)-Ie
APB03221.1	AAC(2)-IIb
AAA88422.1	AAC(3)-Ib
AAL82588.1	AAC(3)-Ib-AAC(6)-Ib
CAD53575.1	AAC(3)-Ic
AAR21614.1	AAC(3)-Id
YP_007349693.1	AAC(3)-IIa/IIc
CAA38525.1	AAC(3)-IIa/IIc
AAA26548.1	AAC(3)-IIb
CAA39184.1	AAC(3)-IIIa
AAA25682.1	AAC(3)-IIIb/IIIc
AAA25683.1	AAC(3)-IIIb/IIIc
ABB43029.1	AAC(3)-IV
AAA25334.1	AAC(3)-IXa
AAA16194.1	AAC(3)-VIa
AAA88552.1	AAC(3)-VIIa
AAA26685.1	AAC(3)-VIIIa
BAA78619.1	AAC(3)-Xa
AAK26252.2	AAC(6)-29a/29b
ACI31326.1	AAC(6)-29a/29b
CAE48335.2	AAC(6)-30-AAC(6)-Ib
AEZ05106.1	AAC(6)-33/I30
AAP43642.1	AAC(6)-33/I30
APB03223.1	AAC(6)-34
AAD03495.1	AAC(6)-clusterA
AAC41392.1	AAC(6)-clusterA
AAC41391.1	AAC(6)-clusterA
AAD03496.1	AAC(6)-clusterA
AAD03493.1	AAC(6)-clusterA
AAD03490.1	AAC(6)-clusterA
AAD03492.1	AAC(6)-clusterA
AAD03491.1	AAC(6)-clusterA
AAD03494.1	AAC(6)-clusterA
ACS44715.1	AAC(6)-clusterB
AGL46466.1	AAC(6)-clusterB
ABC17627.1	AAC(6)-clusterB
AAC46343.1	AAC(6)-clusterB
AKN19287.1	AAC(6)-clusterB
AAD02244.1	AAC(6)-clusterB
YP_009062819.1	AAC(6)-clusterB
ACL37342.1	AAC(6)-clusterB
ABU55430.1	AAC(6)-clusterB
AAN41403.1	AAC(6)-clusterB
AAL38577.1	AAC(6)-clusterB
AAT74613.1	AAC(6)-clusterB
AFJ11384.1	AAC(6)-clusterB
AAD46626.1	AAC(6)-clusterC
ABR10839.1	AAC(6)-clusterC
AAM92464.1	AAC(6)-clusterC
CAK55557.1	AAC(6)-clusterC
CAA91010.1	AAC(6)-clusterD
AAC25500.1	AAC(6)-clusterD
BAH66386.1	AAC(6)-clusterD
AAA98298.1	AAC(6)-Ia
AAF03531.1	AAC(6)-Iaa/Iy
NP_460578.1	AAC(6)-Iaa/Iy
BAD12078.1	AAC(6)-Iad
ACI28880.1	AAC(6)-Iae/Iai
BAD14386.1	AAC(6)-Iae/Iai
BAM46120.1	AAC(6)-Iaj
BAO21229.1	AAC(6)-Iak/Iz
AAD52985.1	AAC(6)-Iak/Iz
BAD11815.1	AAC(6)-Ib-SK
AAA26549.1	AAC(6)-Ic
NP_863643.1	AAC(6)-Ie-APH(2)-Ia
CAA39038.1	AAC(6)-If
AAA21889.1	AAC(6)-Ig
AAB63533.1	AAC(6)-Ii
AAA25680.1	AAC(6)-IIb
CAE50925.1	AAC(6)-Iid
CAE50926.1	AAC(6)-Iih
AAA87229.1	AAC(6)-Ik
AAK63041.1	AAC(6)-Ip
BAD10948.2	AAC(6)-Isa
YP_008997281.1	aad(6)/ANT(6)-Ia
AAU10334.1	aad(6)/ANT(6)-Ia
AAL51021.2	aadA/AAC-clusterB
AAV32840.1	aadA/AAC-clusterB
CAJ32491.1	aadA/AAC-clusterB
CAJ32504.1	aadA/AAC-clusterB
ACF17980.1	aadA/AAC-clusterB
BAD00739.1	aadA/AAC-clusterB
AAN34365.1	aadA4/5
AAF17880.1	aadA4/5
ABG49324.1	aadA9
YP_009081591.1	aadA-clusterA
CAD99015.1	aadA-clusterA
AAC14728.1	aadA-clusterA
AAF27727.1	aadA-clusterA
AAN41439.1	aadA-clusterA
AET15272.1	aadA-clusterA
ACK43806.1	aadA-clusterA
ACJ47200.1	aadA-clusterA
ABD58917.1	aadA-clusterA
YP_001715321.1	aadA-clusterA
AAN87151.1	aadA-clusterA
CAK12750.1	aadA-clusterA
ABG72894.1	aadA-clusterA
CAH10847.1	aadA-clusterA
CAI57696.1	aadA-clusterC
CAB14620.1	aadK
AAC64365.1	ANT(2)-Ia
EEX02086	ANT(3)-IIa
ENU91137	ANT(3)-IIb
ENU37733	ANT(3)-IIc
AAO83986.1	ANT(4)-Ia
YP_006938491.1	ANT(4)-Ib
AAA25717.1	ANT(4)-IIa
AAM76670.1	ANT(4)-IIb
CBH51824.1	ANT(6)-Ib
AFU35063.1	ANT(9)
AAC14693.1	APH(2)-Ie/IVa
AAX38178.1	APH(2)-Ie/IVa
AAW34150.1	APH(2)-If
AGV10818.1	APH(2)-Ig
AAK63040.1	APH(2)-IIa
AAB49832.1	APH(2)-IIIa
CAE51638.1	APH(3)-Ia
CAA37605.1	APH(3)-Ia
AAA26412.1	APH(3)-Ib
ABK33456.1	APH(3)-Ib
ABC68330.1	APH(3)-Ic
WP_000572405.1	APH(3)-IIa
CAA62365.1	APH(3)-IIb
ADQ43421.1	APH(3)-IIc
AGV10830.1	APH(3)-IIIa
CAA27061.1	APH(3)-IVa
ENV34035	APH(3)-IX
AAB21326.1	APH(3)-V
AAA26699.1	APH(3)-V
AAC32025.1	APH(3)-V
CAA30578.1	APH(3)-VI/VIa
AGI04227.1	APH(3)-VI/VIa
AAA76822.1	APH(3)-VIIa
EPF73263	APH(3)-VIII
CAA24743.1	APH(4)-Ia
CAA52372.1	APH(4)-Ib
CAA68516.1	APH(6)-Ia
CAA29136.1	APH(6)-Ib
CAA25854.1	APH(6)-Ic
AAC23556.1	APH(6)-Id
CAA27276.1	APH(7)-Ia
AAB58447.1	APH(9)-Ia
AAB66655.1	APH(9)-Ib
CBL58181.1	apmA
APB03224.1	cpaA
AGW81558.1	spd
ADC55560.1	armA
WP_063964000.1	kamB
BAF80809.1	npmA
YP_001816610.1	rmtA/B
BAC20579.1	rmtA/B
AIA09786.1	rmtC
ABY64751.1	rmtD
AFJ11385.1	rmtF
AGE00988.1	rmtG
AGH19769.1	rmtH
WP_063978071.1	sgm
YP_490697.1	acrD
YP_108403.1	amrA
YP_108402.1	amrB
NP_415222.1	kdpE
NP_848167.1	catB-clusterA
CAI47810.1	catB-clusterA
YP_009077553.1	catB-clusterA
YP_006965431.1	catB-clusterA
CAA11473.1	catB-clusterA
AAA22289.1	cat86
AAA22081.1	cat-Atu
AAA73865.1	catB
NP_249397.1	catB7
AAL68645.1	catB9
AAQ63644.1	cat-Bcl
AAA23018.1	cat-Cco
BAA03718.1	cat-clusterA
CAA23899.1	cat-clusterA
AAL08441.1	cat-clusterA
BAC11901.1	cat-clusterB
CAC84275.1	cat-clusterB
AAB53259.1	cat-clusterB
AAA26613.1	cat-clusterC
AAA16529.1	cat-clusterC
NP_863168.1	cat-clusterC
CAA43218.1	cat-clusterD
NP_052167.1	cat-clusterD
AAA26615.1	cat-clusterD
CAA63498.1	cat-clusterD
AAB51421.1	catD/P
AAF66228.1	catD/P
CAA37806.1	catII
CAA30695.1	catIII
AAA25655.1	cat-Pmi
AAA23215.1	catQ
CAA52904.1	catS
APB03217.1	CatU
AAB23649.1	cat-Van
AAB36568.1	cmlv
AAM77075.1	cml-clusterA
AAD22144.1	cml-clusterA
AAF27726.1	cml-clusterA
AAO15535.1	cml-clusterA
AAK52606.1	cml-clusterA
CAD31707.1	cml-clusterA
CAL30186.1	cml-clusterC
CAA78046.1	cmr
AAC45805.1	cmr
AAG03380.1	cmx
CAD70268.1	fexA
BAA07072.1	floR
AAG16656.1	floR
CAA42594.1	cml-clusterB
AAA67509.1	tcmA
NP_273367.1	farA
NP_273368.1	farB
ABP49606.1	ACC
AAF86697.1	ACC
CAB46491.1	ACC
CCK86740.1	ACC
AAF86691.1	ACC
BAP68758.1	ACT/MIR
AEV91214.1	ACT/MIR
AIT76085.1	ACT/MIR
AAO42602.1	ACT/MIR
AHM76779.1	ACT/MIR
AIT76086.1	ACT/MIR
AJG06172.1	ACT/MIR
AAU95779.1	ACT/MIR
AIT76114.1	ACT/MIR
AHM76774.1	ACT/MIR
AHL39338.1	ACT/MIR
CAJ28994.1	ACT/MIR
AJO16037.1	ACT/MIR
BAM34463.1	ACT/MIR
AJG06170.1	ACT/MIR
AAC45086.2	ACT/MIR
AIT76116.1	ACT/MIR
AIT76096.1	ACT/MIR
ACJ05687.1	ACT/MIR
AFU25653.1	ACT/MIR
AIT76104.1	ACT/MIR
AHM76771.1	ACT/MIR
AFJ79785.1	ACT/MIR
AEI70575.1	ACT/MIR
AIT76113.1	ACT/MIR
AIT76115.1	ACT/MIR
ABN69112.2	ACT/MIR
AHA80105.1	ACT/MIR
CEA29752.1	ACT/MIR
AHL39340.1	ACT/MIR
ABZ81086.1	ACT/MIR
AFU25650.1	ACT/MIR
AFU25647.1	ACT/MIR
AHM76777.1	ACT/MIR
ABL67017.1	ACT/MIR
AIT76117.1	ACT/MIR
AGU38146.1	ACT/MIR
AHL39333.1	ACT/MIR
AAD22636.1	ACT/MIR
ACJ05686.1	ACT/MIR
ACJ05689.1	ACT/MIR
AIT76112.1	ACT/MIR
AIT76111.1	ACT/MIR
CCK86741.1	ACT/MIR
AIT76088.1	ACT/MIR
AHA80106.1	ACT/MIR
AHL39336.1	ACT/MIR
ACJ05688.1	ACT/MIR
AIT76087.1	ACT/MIR
WP_004746565.1	ADC-2
AAC09015.1	AER-1
CAQ53840.1	AIM
BAM76830.1	AQU-1
AAZ04368.1	BEL
ACV69996.1	BEL
ACT09140.1	BEL
BAL75272.1	BJP-1
CAA29819.1	Bla1/BcI
AAR20595.1	Bla1/BcI
AAA22562.1	Bla2/BcII
AAR20596.1	Bla2/BcII
WP_024565805.1	BlaB
AAA19882.1	blaF
AAF61417.1	CARB-clusterA
AFI72872.1	CARB-clusterA
